
Date:        Balance:      Kuna:      Euro:     Bank:   Kuna:  Novèanice:  Kovanice:  Lipe:  200:  100:  50:  20:  10:  5:  2:  1:  0.50:  0.20:  0.10:  0.05:  0.01:   Euro:  Novèanice:  Kovanice:  Centi:  100:  50:  20:  10:  5:  2:  1:  0.50:  0.20:  0.10:  0.05:  0.01:  Note:


06/03/2011,   3984.24,   3984.24,      0.00,        0,            3880.00,     87.00, 17.24,   11,   12,   5,   6,  11,  7, 14, 24,    21,    21,    21,     8,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

17/07/2011,   1934.54,   1934.54,      0.00,        0,            1830.00,     71.00, 33.54,    7,    3,   0,   4,   5,  5, 12, 22,    49,    24,    32,    20,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

19/07/2011,   2254.04,   2254.04,      0.00,        0,            2150.00,     71.00, 33.04,    8,    4,   0,   5,   5,  5, 12, 22,    49,    24,    32,    10,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

10/10/2011,   2387.44,   2387.44,      0.00,        0,            2230.00,    120.00, 37.44,    7,    6,   1,   5,   8,  9, 18, 39,    58,    25,    29,    10,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

25/11/2011,   2628.24,   2628.24,      0.00,        0,            2460.00,    131.00, 37.24,    9,    3,   4,   4,   8,  8, 21, 49,    54,    32,    32,    12,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

21/12/2011,   3256.04,   3256.04,      0.00,        0,            3100.00,    121.00, 35.04,   11,    6,   3,   3,   9,  7, 20, 46,    49,    33,    33,    12,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

26/02/2012,   3725.31,   3725.31,      0.00,        0,            3560.00,    131.00, 34.31,   10,   11,   4,   7,  12,  8, 23, 45,    48,    30,    33,    12,    41,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

25/03/2012,   3889.74,   3889.74,      0.00,        0,            3810.00,     62.00, 17.74,   11,   11,   4,   8,  15,  5,  9, 19,    22,    21,    21,     8,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

02/05/2012,   3984.24,   3984.24,      0.00,        0,            3880.00,     87.00, 17.24,   11,   12,   5,   6,  11,  7, 14, 24,    21,    21,    21,     8,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

10/06/2012,   3929.39,   3929.39,      0.00,        0,            3820.00,     92.00, 17.39,   11,   12,   5,   5,   7,  7, 16, 25,    21,    22,    20,     9,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

08/07/2012,   3939.34,   3939.34,      0.00,        0,            3820.00,    103.00, 16.34,   10,   15,   2,   6,  10,  9, 16, 26,    19,    21,    21,    10,     4,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

30/07/2012,   5175.86,   5175.86,      0.00,        0,            5040.00,    117.00, 18.86,   13,   20,   4,   6,  12, 10, 17, 33,    22,    24,    24,    12,     6,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

23/10/2012,   3113.17,   3113.17,      0.00,        0,            2970.00,    124.00, 19.17,    6,   14,   2,   7,  13, 14, 13, 28,    21,    27,    25,    14,     7,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,  TV (2000 [2200] )

02/01/2013,   3220.42,   3220.42,      0.00,        0,            3080.00,    122.00, 18.42,    6,   14,   4,   9,  10, 15, 10, 27,    18,    30,    25,    17,     7,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

18/03/2013,   3155.96,   3155.96,      0.00,        0,            3000.00,    136.00, 19.96,    7,   13,   2,   7,   6, 19,  9, 23,    19,    33,    28,    20,     6,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,  First? non-spent lower balance!

30/05/2013,   3375.26,   3375.26,      0.00,        0,            3220.00,    135.00, 20.26,    8,   13,   3,   5,   7, 18, 11, 23,    19,    34,    28,    22,     6,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

01/08/2013,   4560.21,   4560.21,      0.00,        0,            4390.00,    150.00, 20.21,   11,   17,   6,   6,   7, 20, 12, 26,    18,    36,    29,    21,     6,               0.00,      0.00,   0.00,    0,    0,   0,   0,   0,  0,  0,  0,     0,     0,     0,     0,

